			State	Turnout Rates		
2012	36	35	North Dakota	60.4	59.8	58.7
2012	24	36	Ohio	65.1	64.5	62.7
2012	53	37	Oklahoma		49.2	46.3
2012	72	38	Oregon	64.2	63.1	58.7
2012	14	39	Pennsylvania		59.5	57.2
2012	5	40	Rhode Island		58.0	53.4
2012	48	41	South Carolina	56.8	56.3	53.6
2012	37	42	South Dakota	60.1	59.3	57.6
2012	54	43	Tennessee	52.3	51.9	49.4
2012	49	44	Texas		49.6	41.7
2012	67	45	Utah	56.1	55.5	51.4
2012	6	46	Vermont	61.2	60.7	59.6
2012	40	47	Virginia	66.6	66.1	60.7
2012	73	48	Washington	65.8	64.8	58.6
2012	56	49	West Virginia		46.3	45.5
2012	25	50	Wisconsin		72.9	69.5
2012	68	51	Wyoming	59.0	58.6	56.4
2010	0	0	United States	41.8	41.0	37.8
2010	41	1	Alabama	43.3	43.0	40.8
2010	81	2	Alaska	52.9	51.9	48.5
2010	61	3	Arizona	41.6	41.0	35.9
2010	42	4	Arkansas	37.9	37.5	35.3
2010	71	5	California	45.9	44.0	35.8
2010	62	6	Colorado	51.7	50.6	46.5
2010	1	7	Connecticut	45.9	45.9	41.7
2010	11	8	Delaware	49.0	47.5	44.1
2010	55	9	District of Columbia	29.6	28.9	26.2
2010	43	10	Florida	42.2	41.7	36.3
2010	44	11	Georgia	40.6	39.8	35.5
2010	82	12	Hawaii	40.3	39.9	36.0
2010	63	13	Idaho	42.9	42.3	39.4
2010	21	14	Illinois	43.1	42.4	38.3
2010	22	15	Indiana	38.1	37.1	35.6
2010	31	16	Iowa	50.7	49.9	47.9
2010	32	17	Kansas	42.6	41.7	39.2
2010	51	18	Kentucky	44.3	42.4	40.7
2010	45	19	Louisiana	40.0	38.9	36.8
2010	2	20	Maine	55.9	55.2	54.3
2010	52	21	Maryland	46.7	46.4	41.8
2010	3	22	Massachusetts	49.4	48.9	44.6
2010	23	23	Michigan	45.1	44.5	42.7
2010	33	24	Minnesota	55.8	55.4	52.1
2010	46	25	Mississippi		37.0	35.5
2010	34	26	Missouri	45.7	44.5	42.4
2010	64	27	Montana	48.4	47.5	46.8
2010	35	28	Nebraska	38.7	37.5	35.5
2010	65	29	Nevada	41.4	41.3	35.3
2010	4	30	New Hampshire	46.1	45.7	44.2
2010	12	31	New Jersey	37.7	36.4	31.4
2010	66	32	New Mexico	44.7	42.8	38.8
2010	13	33	New York	36.3	35.5	30.8
2010	47	34	North Carolina	39.8	39.2	36.4
2010	36	35	North Dakota	46.6	46.2	45.3
2010	24	36	Ohio	46.2	44.9	43.6
2010	53	37	Oklahoma	39.1	38.8	36.4
2010	72	38	Oregon	53.9	52.7	48.7
2010	14	39	Pennsylvania	42.4	41.7	40.1
2010	5	40	Rhode Island	45.4	44.8	41.2
2010	48	41	South Carolina	40.3	39.7	37.6
2010	37	42	South Dakota	53.9	52.9	51.5
2010	54	43	Tennessee	35.1	34.6	32.8
2010	49	44	Texas	32.7	32.1	26.9
2010	67	45	Utah	36.8	36.3	33.6
2010	6	46	Vermont	49.8	49.4	48.5
2010	40	47	Virginia	39.1	38.7	35.4
2010	73	48	Washington	54.3	53.2	48.4
2010	56	49	West Virginia	37.2	36.8	36.1
2010	25	50	Wisconsin	52.4	52.0	49.7
2010	68	51	Wyoming	46.0	45.5	43.8
2008	0	0	United States	62.2	61.6	56.9
2008	41	1	Alabama	61.0	60.8	58.4
2008	81	2	Alaska	68.3	68.0	64.3
2008	61	3	Arizona	57.4	56.7	49.1
2008	42	4	Arkansas	52.9	52.5	50.0
2008	71	5	California	61.7	60.9	49.5
2008	62	6	Colorado	71.6	71.0	64.7
2008	1	7	Connecticut		66.6	60.4
2008	11	8	Delaware	65.8	65.6	60.6
2008	55	9	District of Columbia	61.7	61.5	55.2
2008	43	10	Florida	66.6	66.1	57.6
2008	44	11	Georgia	62.7	62.5	55.6
2008	82	12	Hawaii	49.0	48.8	43.8
2008	63	13	Idaho	64.8	63.6	58.6
2008	21	14	Illinois	64.3	63.6	57.4
2008	22	15	Indiana	60.3	59.1	57.0
2008	31	16	Iowa	69.7	69.4	66.9
2008	32	17	Kansas	63.5	62.0	58.8
2008	51	18	Kentucky	59.0	57.9	55.7
2008	45	19	Louisiana	61.8	61.2	58.7
2008	2	20	Maine	71.8	70.6	69.6
2008	52	21	Maryland	67.8	67.0	60.6
2008	3	22	Massachusetts	67.3	66.8	60.9
2008	23	23	Michigan	69.7	69.2	66.4
2008	33	24	Minnesota	78.1	77.8	73.2
2008	46	25	Mississippi		61.0	58.9
2008	34	26	Missouri	68.2	67.6	64.9
2008	64	27	Montana	67.1	66.3	65.1
2008	35	28	Nebraska	63.7	62.9	59.4
2008	65	29	Nevada	57.2	57.0	48.4
2008	4	30	New Hampshire	72.5	71.7	69.6
2008	12	31	New Jersey	67.7	67.0	58.2
2008	66	32	New Mexico	61.2	60.9	55.1
2008	13	33	New York	59.6	59.0	51.4
2008	47	34	North Carolina	66.1	65.5	60.7
2008	36	35	North Dakota	63.6	62.7	61.7
2008	24	36	Ohio	67.8	66.9	65.1
2008	53	37	Oklahoma	56.3	55.8	52.8
2008	72	38	Oregon	68.3	67.7	62.7
2008	14	39	Pennsylvania	64.2	63.6	61.3
2008	5	40	Rhode Island	62.3	61.8	57.1
2008	48	41	South Carolina	58.2	58.0	55.3
2008	37	42	South Dakota	65.6	64.7	63.4
2008	54	43	Tennessee	57.4	57.0	54.5
2008	49	44	Texas		54.1	45.5
2008	67	45	Utah	57.1	56.0	51.8
2008	6	46	Vermont	67.7	67.3	66.0
2008	40	47	Virginia	67.6	67.0	61.8
2008	73	48	Washington	67.3	66.6	60.3
2008	56	49	West Virginia	51.2	49.9	49.1
2008	25	50	Wisconsin	72.7	72.4	69.3
2008	68	51	Wyoming	63.1	62.8	60.9
2006	0	0	United States	41.3	40.4	37.2
2006	41	1	Alabama		37.5	35.9
2006	81	2	Alaska	51.2	51.0	47.8
2006	61	3	Arizona	39.6	38.9	33.3
2006	42	4	Arkansas	38.9	38.7	36.4
2006	71	5	California	41.2	40.2	32.2
2006	62	6	Colorado	48.1	47.3	43.1
2006	1	7	Connecticut	47.7	46.6	42.5
2006	11	8	Delaware	42.9	42.3	39.0
2006	55	9	District of Columbia	28.7	28.3	25.5
2006	43	10	Florida	40.1	39.6	34.3
2006	44	11	Georgia	35.1	34.7	30.7
2006	82	12	Hawaii	38.4	37.9	34.6
2006	63	13	Idaho	46.2	45.4	42.0
2006	21	14	Illinois	41.4	40.2	36.3
2006	22	15	Indiana	37.7	36.6	35.2
2006	31	16	Iowa	49.2	48.1	46.3
2006	32	17	Kansas	44.3	43.6	41.1
2006	51	18	Kentucky	44.2	40.4	39.0
2006	45	19	Louisiana	31.4	29.7	28.3
2006	2	20	Maine		54.2	53.3
2006	52	21	Maryland	47.2	46.7	42.2
2006	3	22	Massachusetts	49.3	48.8	44.4
2006	23	23	Michigan	52.8	52.1	49.9
2006	33	24	Minnesota	60.5	60.1	56.4
2006	46	25	Mississippi		29.4	28.5
2006	34	26	Missouri	51.2	50.0	48.1
2006	64	27	Montana	57.1	56.4	55.6
2006	35	28	Nebraska	48.8	47.6	45.1
2006	65	29	Nevada	37.1	36.9	31.1
2006	4	30	New Hampshire	42.9	41.4	39.9
2006	12	31	New Jersey	40.6	39.5	34.1
2006	66	32	New Mexico	43.1	42.5	38.6
2006	13	33	New York	36.5	34.9	30.3
2006	47	34	North Carolina	32.5	31.0	28.7
2006	36	35	North Dakota	45.4	44.9	44.1
2006	24	36	Ohio	49.5	47.5	46.3
2006	53	37	Oklahoma		36.4	34.3
2006	72	38	Oregon	53.2	52.5	48.4
2006	14	39	Pennsylvania		44.1	42.6
2006	5	40	Rhode Island	52.1	51.0	46.7
2006	48	41	South Carolina	35.4	34.6	33.1
2006	37	42	South Dakota	58.8	57.8	56.4
2006	54	43	Tennessee	42.1	41.4	39.5
2006	49	44	Texas		30.9	25.8
2006	67	45	Utah	35.0	34.3	31.8
2006	6	46	Vermont	55.0	54.9	53.8
2006	40	47	Virginia	44.5	44.0	40.6
2006	73	48	Washington	47.3	47.3	42.7
2006	56	49	West Virginia	33.8	32.8	32.3
2006	25	50	Wisconsin	53.7	53.2	50.8
2006	68	51	Wyoming	51.8	51.1	49.4
2004	0	0	United States	60.7	60.1	55.4
2004	41	1	Alabama	57.4	57.2	55.2
2004	81	2	Alaska	69.6	69.1	65.2
2004	61	3	Arizona	54.8	54.1	47.0
2004	42	4	Arkansas	54.4	53.6	51.0
2004	71	5	California	59.6	58.8	47.1
2004	62	6	Colorado	67.3	66.7	61.2
2004	1	7	Connecticut	66.2	65.0	59.7
2004	11	8	Delaware	64.5	64.2	59.4
2004	55	9	District of Columbia	54.9	54.3	48.9
2004	43	10	Florida	64.7	64.4	56.1
2004	44	11	Georgia	56.4	56.2	50.0
2004	82	12	Hawaii	48.5	48.2	44.1
2004	63	13	Idaho	64.8	63.2	58.7
2004	21	14	Illinois	62.4	61.5	55.7
2004	22	15	Indiana	55.8	54.8	53.0
2004	31	16	Iowa	70.6	69.9	67.4
2004	32	17	Kansas	62.9	61.6	58.3
2004	51	18	Kentucky	59.4	58.7	56.9
2004	45	19	Louisiana	61.5	61.1	58.5
2004	2	20	Maine	74.9	73.8	72.6
2004	52	21	Maryland	63.1	62.9	57.2
2004	3	22	Massachusetts	64.6	64.2	58.7
2004	23	23	Michigan	67.1	66.6	63.9
2004	33	24	Minnesota	78.8	78.4	73.9
2004	46	25	Mississippi		55.7	54.2
2004	34	26	Missouri	66.1	65.3	62.9
2004	64	27	Montana	65.2	64.4	63.4
2004	35	28	Nebraska	64.1	62.9	59.8
2004	65	29	Nevada	55.4	55.3	47.3
2004	4	30	New Hampshire	71.5	70.9	68.4
2004	12	31	New Jersey	64.2	63.8	55.2
2004	66	32	New Mexico	60.4	59.0	53.9
2004	13	33	New York	58.5	58.0	50.2
2004	47	34	North Carolina	58.7	57.8	53.9
2004	36	35	North Dakota	65.5	64.8	63.8
2004	24	36	Ohio	67.9	66.8	65.1
2004	53	37	Oklahoma		58.3	55.3
2004	72	38	Oregon	72.6	72.0	66.8
2004	14	39	Pennsylvania		62.6	60.6
2004	5	40	Rhode Island	58.9	58.5	52.9
2004	48	41	South Carolina	53.2	53.0	50.7
2004	37	42	South Dakota	69.4	68.2	66.9
2004	54	43	Tennessee	56.8	56.3	54.1
2004	49	44	Texas		53.7	45.4
2004	67	45	Utah	59.8	58.9	54.7
2004	6	46	Vermont	66.7	66.3	65.0
2004	40	47	Virginia	61.1	60.6	56.2
2004	73	48	Washington	67.5	66.9	60.8
2004	56	49	West Virginia	55.1	54.1	53.4
2004	25	50	Wisconsin	75.3	74.8	71.6
2004	68	51	Wyoming	66.3	65.7	63.7
2002	0	0	United States	40.5	39.5	36.3
2002	41	1	Alabama		41.5	40.4
2002	81	2	Alaska	54.5	54.2	51.0
2002	61	3	Arizona	36.7	35.9	30.7
2002	42	4	Arkansas	41.7	41.3	39.7
2002	71	5	California	37.3	36.1	29.0
2002	62	6	Colorado	46.6	46.3	42.0
2002	1	7	Connecticut	45.1	42.3	38.9
2002	11	8	Delaware		41.1	37.9
2002	55	9	District of Columbia		30.1	27.1
2002	43	10	Florida	45.9	45.6	39.5
2002	44	11	Georgia		35.4	32.2
2002	82	12	Hawaii	44.2	43.8	40.2
2002	63	13	Idaho	45.2	44.7	42.0
2002	21	14	Illinois	42.8	41.4	37.7
2002	22	15	Indiana	34.8	33.9	33.3
2002	31	16	Iowa	48.7	47.9	45.7
2002	32	17	Kansas	44.9	44.0	41.4
2002	51	18	Kentucky		37.2	36.4
2002	45	19	Louisiana	40.1	39.4	37.8
2002	2	20	Maine		50.8	50.1
2002	52	21	Maryland	46.8	46.3	41.6
2002	3	22	Massachusetts	49.8	49.2	44.4
2002	23	23	Michigan	45.0	44.5	42.3
2002	33	24	Minnesota		64.1	59.7
2002	46	25	Mississippi		30.1	29.2
2002	34	26	Missouri		45.6	43.9
2002	64	27	Montana	49.7	48.4	47.7
2002	35	28	Nebraska		39.9	37.3
2002	65	29	Nevada	36.8	36.2	31.1
2002	4	30	New Hampshire	48.7	48.1	46.0
2002	12	31	New Jersey	38.9	38.1	32.6
2002	66	32	New Mexico	40.0	38.6	35.7
2002	13	33	New York	37.0	36.1	31.4
2002	47	34	North Carolina		39.7	37.2
2002	36	35	North Dakota	49.8	48.5	47.6
2002	24	36	Ohio	40.3	38.8	37.6
2002	53	37	Oklahoma		41.2	39.6
2002	72	38	Oregon	51.8	50.8	47.2
2002	14	39	Pennsylvania		38.8	37.3
2002	5	40	Rhode Island	45.4	44.7	40.1
2002	48	41	South Carolina		36.9	35.6
2002	37	42	South Dakota	61.2	60.7	59.7
2002	54	43	Tennessee		39.6	37.3
2002	49	44	Texas	34.5	34.2	28.8
2002	67	45	Utah	37.8	37.0	35.0
2002	6	46	Vermont	49.4	48.8	48.1
2002	40	47	Virginia	32.3	29.0	26.9
2002	73	48	Washington	43.5	41.8	37.9
2002	56	49	West Virginia	31.5	31.2	30.8
2002	25	50	Wisconsin		45.4	43.2
2002	68	51	Wyoming	50.8	50.1	49.2
2000	0	0	United States	55.3	54.2	50.0
2000	41	1	Alabama		51.6	50.1
2000	81	2	Alaska	68.7	68.1	65.0
2000	61	3	Arizona	46.4	45.6	40.2
2000	42	4	Arkansas		47.9	46.0
2000	71	5	California	56.6	55.7	44.1
2000	62	6	Colorado		57.5	53.7
2000	1	7	Connecticut	62.5	61.9	56.6
2000	11	8	Delaware		59.0	54.9
2000	55	9	District of Columbia		48.3	43.9
2000	43	10	Florida	57.5	55.9	47.9
2000	44	11	Georgia	47.6	45.8	42.4
2000	82	12	Hawaii	44.6	44.2	39.9
2000	63	13	Idaho	58.9	57.2	53.5
2000	21	14	Illinois	58.5	56.2	51.4
2000	22	15	Indiana	50.8	49.3	48.3
2000	31	16	Iowa		63.2	59.6
2000	32	17	Kansas	56.7	55.6	54.0
2000	51	18	Kentucky	53.1	52.2	50.4
2000	45	19	Louisiana	56.7	56.4	54.2
2000	2	20	Maine		67.2	66.4
2000	52	21	Maryland	55.8	55.5	51.0
2000	3	22	Massachusetts	60.6	59.9	55.4
2000	23	23	Michigan	60.5	59.9	57.3
2000	33	24	Minnesota	70.1	69.5	66.4
2000	46	25	Mississippi		49.1	47.8
2000	34	26	Missouri		58.2	56.2
2000	64	27	Montana	62.6	61.6	60.6
2000	35	28	Nebraska	57.8	56.9	55.0
2000	65	29	Nevada	45.6	45.2	40.2
2000	4	30	New Hampshire	65.0	63.9	60.7
2000	12	31	New Jersey	58.8	56.9	50.1
2000	66	32	New Mexico	49.9	48.5	45.4
2000	13	33	New York	56.2	55.1	47.5
2000	47	34	North Carolina	52.5	50.7	47.5
2000	36	35	North Dakota	61.1	60.3	59.7
2000	24	36	Ohio	57.8	56.7	55.4
2000	53	37	Oklahoma		49.9	48.0
2000	72	38	Oregon	65.9	64.9	59.1
2000	14	39	Pennsylvania		54.1	52.3
2000	5	40	Rhode Island	54.7	54.2	50.7
2000	48	41	South Carolina	48.7	47.0	45.7
2000	37	42	South Dakota	58.7	57.7	56.9
2000	54	43	Tennessee	50.5	49.9	48.1
2000	49	44	Texas	49.2	49.2	42.4
2000	67	45	Utah	54.8	53.8	50.3
2000	6	46	Vermont	64.7	64.1	63.1
2000	40	47	Virginia	55.0	54.0	50.9
2000	73	48	Washington	61.4	60.7	56.2
2000	56	49	West Virginia		46.6	46.1
2000	25	50	Wisconsin		67.6	64.5
2000	68	51	Wyoming	61.4	59.2	58.2
1998	0	0	United States	39.3	38.1	35.3
1998	41	1	Alabama		41.2	40.0
1998	81	2	Alaska	55.6	54.6	52.0
1998	61	3	Arizona	32.1	31.5	28.0
1998	42	4	Arkansas		37.5	36.2
1998	71	5	California	44.7	43.5	35.0
1998	62	6	Colorado		46.1	43.0
1998	1	7	Connecticut	43.7	42.7	39.3
1998	11	8	Delaware		33.4	31.3
1998	55	9	District of Columbia	34.5	34.0	29.9
1998	43	10	Florida	38.4	37.4	33.0
1998	44	11	Georgia	34.6	33.7	30.8
1998	82	12	Hawaii	49.6	49.0	44.8
1998	63	13	Idaho	45.8	45.2	42.5
1998	21	14	Illinois	42.7	41.0	37.4
1998	22	15	Indiana	37.2	36.5	35.6
1998	31	16	Iowa	46.1	45.3	43.9
1998	32	17	Kansas	39.7	38.8	37.2
1998	51	18	Kentucky	41.5	39.1	38.2
1998	45	19	Louisiana	32.0	31.3	30.1
1998	2	20	Maine		51.6	50.8
1998	52	21	Maryland	43.6	43.0	39.6
1998	3	22	Massachusetts	43.7	43.0	39.7
1998	23	23	Michigan	44.9	43.4	41.7
1998	33	24	Minnesota	62.3	61.9	58.8
1998	46	25	Mississippi		27.6	27.0
1998	34	26	Missouri		39.6	38.4
1998	64	27	Montana	51.8	50.7	50.0
1998	35	28	Nebraska	48.6	45.5	43.7
1998	65	29	Nevada	35.7	35.3	31.1
1998	4	30	New Hampshire	37.6	36.3	35.3
1998	12	31	New Jersey	34.4	32.9	29.0
1998	66	32	New Mexico	43.1	41.6	38.8
1998	13	33	New York	40.7	38.6	33.5
1998	47	34	North Carolina		35.8	33.8
1998	36	35	North Dakota	45.7	44.9	44.3
1998	24	36	Ohio	42.9	41.3	40.4
1998	53	37	Oklahoma		36.2	34.7
1998	72	38	Oregon	49.0	47.2	44.2
1998	14	39	Pennsylvania		33.3	32.5
1998	5	40	Rhode Island	42.8	42.3	38.8
1998	48	41	South Carolina	38.7	38.1	36.7
1998	37	42	South Dakota	49.8	49.0	48.3
1998	54	43	Tennessee	25.1	23.9	23.1
1998	49	44	Texas		29.9	25.8
1998	67	45	Utah	36.7	35.8	33.7
1998	6	46	Vermont	50.4	49.0	48.1
1998	40	47	Virginia		23.4	22.0
1998	73	48	Washington	49.3	48.4	44.3
1998	56	49	West Virginia	29.2	25.3	25.0
1998	25	50	Wisconsin		46.3	44.6
1998	68	51	Wyoming	51.0	49.9	48.7
1996	0	0	United States		51.7	48.1
1996	41	1	Alabama		48.8	47.5
1996	81	2	Alaska	60.7	59.8	57.0
1996	61	3	Arizona	46.5	45.6	41.1
1996	42	4	Arkansas		47.9	46.5
1996	71	5	California	55.0	53.7	43.4
1996	62	6	Colorado		54.5	51.4
1996	1	7	Connecticut	60.4	59.6	55.1
1996	11	8	Delaware	52.5	51.2	48.4
1996	55	9	District of Columbia	47.4	46.6	41.3
1996	43	10	Florida	53.3	51.9	46.1
1996	44	11	Georgia	45.8	44.4	41.4
1996	82	12	Hawaii	45.1	43.9	40.2
1996	63	13	Idaho	61.6	59.3	57.2
1996	21	14	Illinois	53.8	52.5	48.3
1996	22	15	Indiana	51.0	49.6	48.6
1996	31	16	Iowa	59.7	58.8	57.3
1996	32	17	Kansas	57.8	57.3	55.3
1996	51	18	Kentucky	49.3	48.2	47.3
1996	45	19	Louisiana	58.4	57.8	56.4
1996	2	20	Maine		65.2	64.2
1996	52	21	Maryland	50.8	50.4	46.7
1996	3	22	Massachusetts	59.3	58.4	54.2
1996	23	23	Michigan	56.3	55.3	53.4
1996	33	24	Minnesota	66.6	66.1	63.1
1996	46	25	Mississippi		45.9	45.0
1996	34	26	Missouri		55.1	53.5
1996	64	27	Montana	64.7	63.1	62.3
1996	35	28	Nebraska	57.8	57.0	55.1
1996	65	29	Nevada	41.2	40.9	36.5
1996	4	30	New Hampshire	60.1	58.3	56.8
1996	12	31	New Jersey	56.9	56.4	50.0
1996	66	32	New Mexico	49.5	47.4	44.5
1996	13	33	New York	52.9	51.9	45.3
1996	47	34	North Carolina		46.3	44.0
1996	36	35	North Dakota	57.1	56.0	55.3
1996	24	36	Ohio	56.7	55.4	54.2
1996	53	37	Oklahoma	51.4	51.0	49.0
1996	72	38	Oregon	60.6	59.7	56.3
1996	14	39	Pennsylvania		49.7	48.5
1996	5	40	Rhode Island		54.4	49.9
1996	48	41	South Carolina	44.1	42.2	40.8
1996	37	42	South Dakota	62.2	61.1	60.3
1996	54	43	Tennessee		47.5	46.3
1996	49	44	Texas		46.5	40.4
1996	67	45	Utah	52.1	50.2	47.7
1996	6	46	Vermont	60.0	59.3	58.2
1996	40	47	Virginia	51.3	50.2	47.3
1996	73	48	Washington	59.9	58.9	54.3
1996	56	49	West Virginia	47.1	45.9	45.5
1996	25	50	Wisconsin		58.4	56.5
1996	68	51	Wyoming	62.5	61.3	59.9
1994	0	0	United States	0.0	41.1	38.5
1994	41	1	Alabama		38.8	37.9
1994	81	2	Alaska	54.2	53.4	51.2
1994	61	3	Arizona	39.9	39.1	35.6
1994	42	4	Arkansas		39.8	38.8
1994	71	5	California	48.2	46.9	38.1
1994	62	6	Colorado	44.3	42.1	40.1
1994	1	7	Connecticut	49.8	49.1	45.6
1994	11	8	Delaware	39.3	38.8	36.8
1994	55	9	District of Columbia	45.2	44.6	39.6
1994	43	10	Florida	43.9	42.9	38.2
1994	44	11	Georgia		31.0	29.2
1994	82	12	Hawaii	46.6	45.6	41.8
1994	63	13	Idaho	53.5	52.7	51.0
1994	21	14	Illinois	39.4	38.0	35.2
1994	22	15	Indiana	38.0	36.4	35.8
1994	31	16	Iowa	49.2	48.0	46.9
1994	32	17	Kansas	45.5	44.7	43.4
1994	51	18	Kentucky	29.2	27.7	27.2
1994	45	19	Louisiana	29.4	27.2	26.6
1994	2	20	Maine		55.7	54.9
1994	52	21	Maryland	41.3	40.5	37.6
1994	3	22	Massachusetts	51.3	50.1	46.7
1994	23	23	Michigan	46.3	45.1	43.6
1994	33	24	Minnesota	55.2	54.5	52.4
1994	46	25	Mississippi	32.6	31.9	31.4
1994	34	26	Missouri		46.0	44.8
1994	64	27	Montana	57.8	56.3	55.7
1994	35	28	Nebraska	51.0	49.8	48.2
1994	65	29	Nevada	37.4	36.9	33.3
1994	4	30	New Hampshire	38.5	37.6	36.6
1994	12	31	New Jersey	39.5	38.1	33.9
1994	66	32	New Mexico	43.1	41.4	39.1
1994	13	33	New York	43.7	42.7	37.5
1994	47	34	North Carolina		30.3	29.0
1994	36	35	North Dakota	51.3	50.4	49.9
1994	24	36	Ohio	43.5	42.3	41.4
1994	53	37	Oklahoma	43.1	42.7	41.3
1994	72	38	Oregon	56.3	54.8	52.1
1994	14	39	Pennsylvania		39.6	38.8
1994	5	40	Rhode Island		50.5	46.5
1994	48	41	South Carolina	35.7	35.1	34.0
1994	37	42	South Dakota	61.3	60.1	59.4
1994	54	43	Tennessee		38.6	37.7
1994	49	44	Texas		37.5	33.0
1994	67	45	Utah	42.7	41.5	39.8
1994	6	46	Vermont	50.8	49.5	48.7
1994	40	47	Virginia		43.6	41.3
1994	73	48	Washington	46.7	45.8	42.6
1994	56	49	West Virginia	31.9	30.5	30.2
1994	25	50	Wisconsin		42.4	41.2
1994	68	51	Wyoming	60.5	59.8	58.6
1992	0	0	United States	0.0	58.1	54.7
1992	41	1	Alabama		55.7	54.5
1992	81	2	Alaska	67.1	66.3	63.6
1992	61	3	Arizona	56.7	55.7	51.3
1992	42	4	Arkansas		54.3	53.1
1992	71	5	California	61.6	60.3	49.3
1992	62	6	Colorado	64.0	62.9	60.3
1992	1	7	Connecticut	69.8	68.6	64.1
1992	11	8	Delaware	58.3	58.0	55.3
1992	55	9	District of Columbia	54.2	53.3	47.7
1992	43	10	Florida	57.2	55.9	50.2
1992	44	11	Georgia		48.5	45.9
1992	82	12	Hawaii	48.2	46.9	43.0
1992	63	13	Idaho	66.9	65.6	63.8
1992	21	14	Illinois	63.6	62.2	58.1
